typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","116","KHM","Cambodia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"36119774","36119774","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","120","CMR","Cameroon","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"61393136","61393136","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","124","CAN","Canada","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"129954168","129954168","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","132","CPV","Cabo Verde","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"210130","210130","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","136","CYM","Cayman Isds","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"593935","593935","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","140","CAF","Central African Rep.","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"4645071","4645071","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","144","LKA","Sri Lanka","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"149424659","149424659","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","148","TCD","Chad","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"17988692","17988692","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","152","CHL","Chile","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"43181065","43181065","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","156","CHN","China","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"36279743","36279743","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","170","COL","Colombia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"36204983","36204983","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","174","COM","Comoros","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"185382","185382","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","178","COG","Congo","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"39258996","39258996","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","180","COD","Dem. Rep. of the Congo","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"60113982","60113982","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","184","COK","Cook Isds","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"34","34","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","188","CRI","Costa Rica","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"11730411","11730411","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","191","HRV","Croatia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"8262702","8262702","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","192","CUB","Cuba","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"10734890","10734890","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","196","CYP","Cyprus","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2100171","2100171","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","203","CZE","Czechia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"25922430","25922430","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","204","BEN","Benin","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"33938107","33938107","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","208","DNK","Denmark","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"27156399","27156399","0","true","false",
