typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","364","IRN","Iran","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","9245",,"9245","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","372","IRL","Ireland","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","38603438",,"38603438","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","376","ISR","Israel","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","4976199",,"4976199","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","380","ITA","Italy","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","98150073",,"98150073","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","18667492",,"18667492","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","7672",,"7672","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","400","JOR","Jordan","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","299",,"299","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","404","KEN","Kenya","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","415",,"415","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","408","PRK","Dem. People's Rep. of Korea","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","114312",,"114312","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","38741480",,"38741480","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","418","LAO","Lao People's Dem. Rep.","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","17775",,"17775","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","428","LVA","Latvia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1586",,"1586","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","440","LTU","Lithuania","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","18447",,"18447","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","458","MYS","Malaysia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2302854",,"2302854","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","470","MLT","Malta","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1399785",,"1399785","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","10010478",,"10010478","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","13637090",,"13637090","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","504","MAR","Morocco","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","4608",,"4608","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","512","OMN","Oman","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","20647",,"20647","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","524","NPL","Nepal","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","9168301",,"9168301","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","528","NLD","Netherlands","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","44340857",,"44340857","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","554","NZL","New Zealand","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","623131",,"623131","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","579","NOR","Norway","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2642160",,"2642160","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","586","PAK","Pakistan","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","458",,"458","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","89767",,"89767","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","616","POL","Poland","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","288619",,"288619","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","620","PRT","Portugal","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","53153",,"53153","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","634","QAT","Qatar","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","439",,"439","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","642","ROU","Romania","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","184983",,"184983","0","true","false",
